order,title,date,slug,html_file,source_url,word_count
1,A ‘must’ update for the algorithm of love,2026-02-16,a-must-update-for-the-algorithm-of-love,manual-html-posts/01-a-must-update-for-the-algorithm-of-love.html,https://www.thedeliberatepause.com/newsletter/a-must-update-for-the-algorithm-of-love,2318
2,Angry Young Vijay’s Disappointment,2026-04-20,angry-young-vijays-disappointment,manual-html-posts/02-angry-young-vijays-disappointment.html,https://www.thedeliberatepause.com/newsletter/angry-young-vijays-disappointment,1981
3,Busy but Broke? Your Fake Work Is Keeping You Poor.,2025-12-08,busy-but-broke-your-fake-work-is-keeping-you-poor,manual-html-posts/03-busy-but-broke-your-fake-work-is-keeping-you-poor.html,https://www.thedeliberatepause.com/newsletter/busy-but-broke-your-fake-work-is-keeping-you-poor,1644
4,Does happiness feel ‘different’?,2026-04-13,does-happiness-feel-different,manual-html-posts/04-does-happiness-feel-different.html,https://www.thedeliberatepause.com/newsletter/does-happiness-feel-different,1828
5,Fall in Love with 2026 sooner than later,2025-12-29,fall-in-love-with-2026-sooner-than-later,manual-html-posts/05-fall-in-love-with-2026-sooner-than-later.html,https://www.thedeliberatepause.com/newsletter/fall-in-love-with-2026-sooner-than-later,1848
6,Force multiplier for the zero-cost builder,2025-11-17,force-multiplier-for-the-zero-cost-builder,manual-html-posts/06-force-multiplier-for-the-zero-cost-builder.html,https://www.thedeliberatepause.com/newsletter/force-multiplier-for-the-zero-cost-builder,1777
7,"Founders are lonely, but there’s a way out",2025-10-06,founders-are-lonely-but-theres-a-way-out,manual-html-posts/07-founders-are-lonely-but-theres-a-way-out.html,https://www.thedeliberatepause.com/newsletter/founders-are-lonely-but-theres-a-way-out,1249
8,Heroes Ask for Help,2025-12-22,heroes-ask-for-help,manual-html-posts/08-heroes-ask-for-help.html,https://www.thedeliberatepause.com/newsletter/heroes-ask-for-help,2318
9,How David Goggins helped the founder in me survive a ‘stroke’,2025-09-29,how-david-goggins-helped-the-founder-in-me-survive-a-stroke,manual-html-posts/09-how-david-goggins-helped-the-founder-in-me-survive-a-stroke.html,https://www.thedeliberatepause.com/newsletter/how-david-goggins-helped-the-founder-in-me-survive-a-stroke,1761
10,Mood Metrics That Make Or Break A Startup,2025-09-22,mood-metrics-that-make-or-break-a-startup,manual-html-posts/10-mood-metrics-that-make-or-break-a-startup.html,https://www.thedeliberatepause.com/newsletter/mood-metrics-that-make-or-break-a-startup,1524
