title,slug,status,included_for_substack,body_html_chars,body_text_words,content_fields_used,missing_meta_title,missing_meta_description,missing_social_image
A ‘must’ update for the algorithm of love,a-must-update-for-the-algorithm-of-love,draft,yes,17042,2318,Content | Layout five second half content,no,no,no
Angry Young Vijay’s Disappointment,angry-young-vijays-disappointment,published,yes,12877,1981,Content | Layout five second half content,no,no,no
Busy but Broke? Your Fake Work Is Keeping You Poor.,busy-but-broke-your-fake-work-is-keeping-you-poor,draft,yes,12361,1644,Content | Supporting Image and content,no,no,yes
Does happiness feel ‘different’?,does-happiness-feel-different,published,yes,11715,1828,Content | Layout five second half content,no,no,no
Fall in Love with 2026 sooner than later,fall-in-love-with-2026-sooner-than-later,published,yes,12274,1848,Content | Blockquotes content,no,no,no
Force multiplier for the zero-cost builder,force-multiplier-for-the-zero-cost-builder,draft,yes,14074,1777,Content | Supporting Image and content | Call out title | Blockquotes content,no,no,yes
"Founders are lonely, but there’s a way out",founders-are-lonely-but-theres-a-way-out,published,yes,10372,1249,Content,no,no,yes
Heroes Ask for Help,heroes-ask-for-help,draft,yes,20027,2318,Content | Supporting Image and content | Blockquotes content,no,no,yes
How David Goggins helped the founder in me survive a ‘stroke’,how-david-goggins-helped-the-founder-in-me-survive-a-stroke,published,yes,13782,1761,Content,no,no,yes
Mood Metrics That Make Or Break A Startup,mood-metrics-that-make-or-break-a-startup,published,yes,11132,1524,Content,yes,yes,yes
My 90-Hour Fast Revealed A Surprise I Never Expected,my-90-hour-fast-revealed-a-surprise-i-never-expected,published,yes,17742,2256,Content | Summary Content,no,no,yes
My rejection experiment that can be your breakthrough,my-rejection-experiment-that-can-be-your-breakthrough,published,yes,15241,1482,Content | Supporting Image and content | Item 1 title | Item 1 content | Item 2 title | Item 2 content 1 | item 2 content 2 | Item 2 content 3 | Item 2 content 4 | Item 3 title | Item 3 content 1 | Item 3 content 2 | item 3 content 3 | Item 4 title | Item 4 content | item 4 image content 2 | item 4 content 4 | Item 5 title | Item 5 content | Featured Body text 2 | Call out title | Blockquotes content,no,no,yes
"No means,  no to hustle culture",no-means-no-to-hustle-culture,published,yes,10563,1586,Content,no,no,no
"Rejection hurts, but don’t let it be painful",rejection-hurts-but-dont-let-it-be-painful,published,yes,11788,1395,Content | Supporting Image and content | Item 1 title | Item 1 content | Item 2 title | Item 2 content 1 | item 2 content 2 | Item 2 content 3 | Item 2 content 4 | Item 3 title | Item 3 content 1 | Item 3 content 2 | Featured Body text 2 | section content | Detailed Text | Call out title | Blockquotes content | Feature_content-3,no,no,yes
Smart but stuck: When intelligence alone falls short of cracking the startup code,jhksf,archived,no,12313,1483,Content,no,no,yes
Smart but stuck: When intelligence alone falls short of cracking the startup code,smart-but-stuck-when-intelligence-alone-falls-short-of-cracking-the-startup,published,yes,10618,1302,Content | Supporting Image and content | Item 1 title | Item 1 content | Item 2 title | Item 2 content 1 | item 2 content 2 | Item 2 content 3 | Item 2 content 4 | Item 3 title | Item 3 content 1 | Item 3 content 2 | Item 4 title | Item 4 content | Item 5 title | Item 5 content | Item 6 title | item 6 content 1 | Item 6 content 2 | Item 6 content 3 | Swipper title | Featured title 2 | Featured Body text 2 | section title | section sub description | section content | product Title | Detailed Text | Call out title | Blockquotes content,no,no,yes
"Someone is stealing your lifetime, literally",someone-is-stealing-your-lifetime-literally,published,yes,8165,1253,Content,no,no,yes
Steve Jobs Wasn't Complete. Neither Are You,steve-jobs-wasnt-complete-neither-are-you,published,yes,12919,1781,Content,no,no,no
The Aliveness Paradox,the-aliveness-paradox,published,yes,10629,1615,Content | Layout five second half content,no,no,no
The Calendar Is Killing Your Peak Performance Moments,the-calendar-is-killing-your-performance,published,yes,13874,1707,Content | Summary Content,no,no,yes
The Dark Side of Self-Love,the-dark-side-of-self-love,published,yes,11867,1772,Content | Layout five second half content,no,no,no
The False Sense  of Agency,the-false-sense-of-agency,published,yes,16030,1857,Content | Layout five second half content,no,no,no
The Low Status Moat Matters,the-low-status-moat-matters,draft,yes,14088,1793,Content,no,no,no
